Wavelength_nm,Raw_Counts,Display_Value
350.0000,1110.98,1110.9802
350.3175,1109.81,1109.8147
350.6351,1111.10,1111.0951
350.9526,1110.54,1110.5393
351.2702,1110.03,1110.0336
351.5877,1110.54,1110.5421
351.9052,1110.74,1110.7430
352.2228,1110.89,1110.8925
352.5403,1110.77,1110.7677
352.8578,1110.35,1110.3520
353.1754,1110.81,1110.8074
353.4929,1110.94,1110.9359
353.8105,1111.02,1111.0171
354.1280,1110.13,1110.1252
354.4455,1111.05,1111.0473
354.7631,1110.92,1110.9188
355.0806,1111.31,1111.3069
355.3981,1111.05,1111.0471
355.7157,1110.76,1110.7565
356.0332,1110.38,1110.3826
356.3508,1111.36,1111.3637
356.6683,1111.22,1111.2226
356.9858,1111.04,1111.0377
357.3034,1111.21,1111.2089
357.6209,1110.89,1110.8874
357.9384,1111.04,1111.0354
358.2560,1112.74,1112.7426
358.5735,1111.43,1111.4311
358.8911,1111.05,1111.0517
359.2086,1112.21,1112.2089
359.5261,1111.52,1111.5185
359.8437,1112.88,1112.8797
360.1612,1111.37,1111.3728
360.4787,1111.33,1111.3304
360.7963,1111.89,1111.8925
361.1138,1111.02,1111.0236
361.4314,1112.28,1112.2793
361.7489,1111.44,1111.4435
362.0664,1112.17,1112.1694
362.3840,1112.14,1112.1448
362.7015,1112.28,1112.2828
363.0191,1112.45,1112.4458
363.3366,1112.71,1112.7068
363.6541,1112.13,1112.1267
363.9717,1112.37,1112.3730
364.2892,1112.04,1112.0390
364.6067,1113.24,1113.2408
364.9243,1111.67,1111.6687
365.2418,1112.41,1112.4066
365.5594,1112.99,1112.9902
365.8769,1112.33,1112.3264
366.1944,1112.93,1112.9316
366.5120,1113.09,1113.0874
366.8295,1112.62,1112.6212
367.1470,1113.55,1113.5469
367.4646,1113.51,1113.5083
367.7821,1113.03,1113.0342
368.0997,1113.86,1113.8582
368.4172,1113.24,1113.2365
368.7347,1114.30,1114.2969
369.0523,1114.19,1114.1854
369.3698,1113.19,1113.1917
369.6873,1113.34,1113.3445
370.0049,1113.91,1113.9070
370.3224,1112.86,1112.8603
370.6400,1114.41,1114.4116
370.9575,1113.73,1113.7277
371.2750,1114.54,1114.5361
371.5926,1114.10,1114.0994
371.9101,1114.19,1114.1866
372.2277,1114.28,1114.2765
372.5452,1114.14,1114.1429
372.8627,1113.65,1113.6468
373.1803,1114.14,1114.1442
373.4978,1113.86,1113.8648
373.8153,1114.25,1114.2476
374.1329,1114.84,1114.8425
374.4504,1114.17,1114.1686
374.7680,1114.33,1114.3344
375.0855,1114.53,1114.5331
375.4030,1114.33,1114.3296
375.7206,1115.61,1115.6134
376.0381,1115.21,1115.2118
376.3556,1115.11,1115.1100
376.6732,1114.24,1114.2397
376.9907,1114.97,1114.9729
377.3083,1116.24,1116.2369
377.6258,1115.45,1115.4452
377.9433,1115.67,1115.6687
378.2609,1115.38,1115.3778
378.5784,1115.34,1115.3355
378.8959,1115.64,1115.6408
379.2135,1115.75,1115.7493
379.5310,1114.64,1114.6394
379.8486,1115.80,1115.8033
380.1661,1116.15,1116.1514
380.4836,1115.72,1115.7180
380.8012,1115.83,1115.8294
381.1187,1116.18,1116.1752
381.4362,1115.58,1115.5756
381.7538,1116.11,1116.1138
382.0713,1116.69,1116.6895
382.3889,1116.82,1116.8164
382.7064,1114.93,1114.9326
383.0239,1116.46,1116.4633
383.3415,1116.33,1116.3311
383.6590,1116.10,1116.0958
383.9766,1116.95,1116.9526
384.2941,1116.83,1116.8344
384.6116,1116.46,1116.4620
384.9292,1115.83,1115.8291
385.2467,1117.24,1117.2433
385.5642,1116.83,1116.8310
385.8818,1117.07,1117.0747
386.1993,1117.15,1117.1533
386.5169,1116.96,1116.9556
386.8344,1117.36,1117.3565
387.1519,1117.44,1117.4420
387.4695,1117.42,1117.4182
387.7870,1116.94,1116.9430
388.1045,1117.89,1117.8873
388.4221,1117.60,1117.5980
388.7396,1118.44,1118.4352
389.0572,1117.92,1117.9217
389.3747,1117.64,1117.6433
389.6922,1117.11,1117.1062
390.0098,1118.07,1118.0717
390.3273,1117.55,1117.5468
390.6448,1117.75,1117.7477
390.9624,1117.99,1117.9886
391.2799,1117.56,1117.5568
391.5975,1117.86,1117.8619
391.9150,1119.44,1119.4364
392.2325,1118.46,1118.4576
392.5501,1119.08,1119.0832
392.8676,1118.25,1118.2507
393.1851,1118.34,1118.3422
393.5027,1119.74,1119.7439
393.8202,1118.32,1118.3173
394.1378,1119.18,1119.1795
394.4553,1119.65,1119.6497
394.7728,1119.90,1119.8954
395.0904,1118.28,1118.2777
395.4079,1119.37,1119.3709
395.7255,1119.84,1119.8397
396.0430,1119.34,1119.3399
396.3605,1119.60,1119.6044
396.6781,1120.11,1120.1073
396.9956,1119.28,1119.2831
397.3131,1119.39,1119.3897
397.6307,1119.93,1119.9325
397.9482,1120.21,1120.2107
398.2658,1119.88,1119.8789
398.5833,1120.00,1120.0011
398.9008,1120.19,1120.1924
399.2184,1120.20,1120.2035
399.5359,1120.07,1120.0721
399.8534,1120.92,1120.9153
400.1710,1120.49,1120.4878
400.4885,1120.11,1120.1122
400.8061,1119.55,1119.5468
401.1236,1120.24,1120.2375
401.4411,1121.21,1121.2136
401.7587,1121.52,1121.5214
402.0762,1121.01,1121.0091
402.3937,1121.02,1121.0177
402.7113,1121.20,1121.1996
403.0288,1121.18,1121.1789
403.3464,1121.21,1121.2088
403.6639,1121.44,1121.4383
403.9814,1121.12,1121.1226
404.2990,1120.85,1120.8453
404.6165,1122.70,1122.6984
404.9340,1121.24,1121.2352
405.2516,1121.68,1121.6792
405.5691,1121.92,1121.9210
405.8867,1122.61,1122.6073
406.2042,1122.99,1122.9917
406.5217,1121.68,1121.6843
406.8393,1122.56,1122.5588
407.1568,1122.33,1122.3345
407.4744,1122.47,1122.4657
407.7919,1121.97,1121.9686
408.1094,1122.24,1122.2356
408.4270,1121.88,1121.8766
408.7445,1122.73,1122.7286
409.0620,1122.83,1122.8324
409.3796,1122.65,1122.6453
409.6971,1123.60,1123.5958
410.0147,1122.34,1122.3392
410.3322,1123.46,1123.4591
410.6497,1122.68,1122.6804
410.9673,1123.10,1123.0959
411.2848,1123.44,1123.4440
411.6023,1123.42,1123.4230
411.9199,1123.79,1123.7929
412.2374,1123.00,1123.0049
412.5550,1123.82,1123.8219
