# device_serial=FLMS13217
# frame_number=222
# integration_time_us=50000
# timestamp_ns=1778614513732568000
# axis_units=nm
# value_units=counts
wavelength_nm,intensity
177.7856,17.081
178.1732,27864
178.5608,2005.8
178.9483,2015.56
179.3358,2074.12
179.7233,1988.72
180.1107,2059.48
180.4981,1996.04
180.8854,2018
181.2727,2037.52
181.6600,2025.32
182.0472,2074.12
182.4344,2042.4
182.8215,2108.29
183.2086,2074.12
183.5957,2125.37
183.9827,2154.65
184.3697,2154.65
184.7567,2205.89
185.1436,2296.18
185.5305,2225.41
185.9173,2279.1
186.3041,2313.26
186.6909,2293.74
187.0776,2281.54
187.4643,2332.78
187.8510,2384.02
188.2376,2410.86
188.6242,2366.94
189.0107,2410.86
189.3972,2430.39
189.7837,2457.23
190.1701,2342.54
190.5565,2393.78
190.9429,2464.55
191.3292,2405.98
191.7154,2488.95
192.1017,2474.31
192.4879,2437.71
192.8740,2452.35
193.2602,2535.31
193.6462,2474.31
194.0323,2476.75
194.4183,2454.79
194.8043,2442.59
195.1902,2440.15
195.5761,2481.63
195.9619,2430.39
196.3478,2471.87
196.7335,2408.42
197.1193,2464.55
197.5050,2452.35
197.8906,2459.67
198.2763,2442.59
198.6619,2391.34
199.0474,2354.74
199.4329,2442.59
199.8184,2425.51
200.2038,2403.54
200.5892,2371.82
200.9746,2413.3
201.3599,2432.83
201.7452,2384.02
202.1304,2413.3
202.5156,2435.27
202.9008,2471.87
203.2859,2437.71
203.6710,2388.9
204.0560,2359.62
204.4410,2384.02
204.8260,2354.74
205.2109,2425.51
205.5958,2386.46
205.9807,2410.86
206.3655,2418.18
206.7503,2437.71
207.1350,2413.3
207.5197,2374.26
207.9044,2420.62
208.2890,2366.94
208.6736,2440.15
209.0581,2384.02
209.4426,2447.47
209.8271,2381.58
210.2115,2432.83
210.5959,2449.91
210.9803,2427.95
211.3646,2401.1
211.7489,2435.27
212.1331,2442.59
212.5173,2425.51
212.9015,2484.07
213.2856,2435.27
213.6697,2432.83
214.0537,2457.23
214.4377,2423.06
214.8217,2374.26
215.2056,2364.5
215.5895,2325.46
215.9733,2396.22
216.3571,2496.27
216.7409,2388.9
217.1246,2335.22
217.5083,2481.63
217.8920,2442.59
218.2756,2440.15
218.6592,2410.86
219.0427,2418.18
219.4262,2427.95
219.8096,2384.02
220.1931,2386.46
220.5764,2425.51
220.9598,2405.98
221.3431,2401.1
221.7263,2437.71
222.1096,2388.9
222.4927,2471.87
222.8759,2457.23
223.2590,2440.15
223.6421,2445.03
224.0251,2469.43
224.4081,2379.14
224.7910,2445.03
225.1739,2484.07
225.5568,2466.99
225.9396,2474.31
226.3224,2425.51
226.7052,2335.22
227.0879,2481.63
227.4705,2396.22
